Identifier,Monthly Reporting Period,Channel,Seller Name,Servicer Name,Master Servicer,Original Interest Rate,Current Interest Rate,Spread,Original UPB,UPB at Issuance,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Loan Age,Remaining Months to Legal Maturity,Remaining Months To Maturity,Maturity Date,Original LTV,Oringal CLTV,Number of Borrowers,Debt-To-Income,Borrower Credit Score at Origination,Co-Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Property State,MSA_code,Zip Code Short,Mortgage Insurance Percentage,Amortization Type,Prepayment Penalty Indicator,Interest Only Loan Indicator,Interest Only First Principal And Interest Payment Date,Months to Amortization,Current Loan Delinquency Status,Loan Payment History,Modification Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100023000000,32014,R,Other,Other,,5.375,5.375,0,55000,,47160.7,240,82009,102009,54,186,186,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,42014,R,Other,Other,,5.375,5.375,0,55000,,46996.94,240,82009,102009,55,185,185,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,52014,R,Other,Other,,5.375,5.375,0,55000,,46832.45,240,82009,102009,56,184,184,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,62014,R,Other,Other,,5.375,5.375,0,55000,,46667.22,240,82009,102009,57,183,183,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,72014,R,Other,Other,,5.375,5.375,0,55000,,46501.25,240,82009,102009,58,182,182,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,82014,R,Other,Other,,5.375,5.375,0,55000,,46334.54,240,82009,102009,59,181,181,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,92014,R,Other,Other,,5.375,5.375,0,55000,,46167.08,240,82009,102009,60,180,180,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,102014,R,Other,Other,,5.375,5.375,0,55000,,45998.87,240,82009,102009,61,179,179,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,112014,R,Other,Other,,5.375,5.375,0,55000,,45829.91,240,82009,102009,62,178,178,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,122014,R,Other,Other,,5.375,5.375,0,55000,,45660.19,240,82009,102009,63,177,177,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,12015,R,Other,Other,,5.375,5.375,0,55000,,45489.71,240,82009,102009,64,176,176,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,22015,R,Other,Other,,5.375,5.375,0,55000,,45318.47,240,82009,102009,65,175,175,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,32015,R,Other,Other,,5.375,5.375,0,55000,,45146.46,240,82009,102009,66,174,174,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,42015,R,Other,Other,,5.375,5.375,0,55000,,44973.68,240,82009,102009,67,173,173,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,52015,R,Other,Other,,5.375,5.375,0,55000,,44800.12,240,82009,102009,68,172,172,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
